,,,
,,,
,99 - App,,4000000
,Accenture,,1000000
,Acqua Investimentos,,3000
,AeC,,100000
,Alliansce Sonae,,2700000
,AMBEV,,110000000
,Amaggi,,4000000
,Americanas.com,,45000000
,Andrade Gutierrez,,1300000
,Anglo American,,4000000
,Anglo Ashanti,,1500000
,ArcelorMittal,,18000000
,Atelier Lucas Shirts,,14035
,AVG,,135000
,Banco BMG,,3500000
,Banco Máxima,,3000000
,Banco Safra,,30000000
,BB Seguros,,40000000
,Boticário,,500000
,BR DIstribuidora,,576000
,Bradesco,,16666667
,"Bradesco, Itaú e Santander",,80000000
,Bradesco Seguros,,5000000
,Brasken,,10000000
,BRF,,50000000
,Brookfield Energia Renovável,,3000000
,BTG Pactual,,50000000
,Burger King,,1000000
,BV,,30000000
,Cacau Show,,32400000
,Café Três Corações,,550000
,Carlos Wizard,,50000
,Carrefour,,15000000
,CBMM,,5500000
,Cedro Mineração,,1000000
,Cemig,,5000000
,Coca Cola,,1000000
,Comerc Energia,,1000000
,Companhia Siderúrgica do Pecém ,,1500000
,Confederação Nacional da Agricultura,,5000000
,Construtora Barbosa Melo,,500000
,Construtora Diniz Camargos,,65000
,Danone,,4300000
,De Paola & Panasolo Sociedade de Advogados,,100000
,EDP,,10000000
,Elopar - Banco do Brasil e Bradesco,,20000000
,Ematex Têxtil,,65000
,EMBRAPII,,20000000
,Enel,,26400000
,Energisa,,6500000
,Famílias Trajano e Garcia,,10000000
,FCA,,800000
,Fundação Casas Bahia,,1000000
,Fundação José Luiz Egydio Setúbal,,1000000
,Fundação Mapfre,,16000000
,Fundação Oswaldo Cruz - FIOCRUZ,,600000
,"Fundação Tide Setubal, Arymax e Fundação Humanize",,4000000
,Fundo Brasil de Direitos Humanos,,535000
,Galvão Bueno e amigos,,12000000
,Gerdau,,7000000
,Gisele Bündchen,,1000000
,Grupo Brasal,,2000000
,Grupo Lunelli,,4250000
,Grupo Montesanto Tavares,,20000
,Grupo Zaffari,,10000000
,GS Souto Engenharia,,15000
,GT Building,,200000
,Gusttavo Lima,,500000
,Hypofarma,,100000
,iCS - Instituto Clima e Sociedade,,230000
,iFood,,52000000
